番号,日本語,英語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
320,ホエルコ,Wailmer,Wailmer,Wailmer,고래왕자,吼吼鲸,吼吼鯨
321,ホエルオー,Wailord,Wailord,Wailord,고래왕,吼鲸王,吼鯨王
322,ドンメル,Numel,Camaub,Chamallot,둔타,呆火驼,呆火駝
323,バクーダ,Camerupt,Camerupt,Camerupt,폭타,喷火驼,噴火駝
324,コータス,Torkoal,Qurtel,Chartor,코터스,煤炭龟,煤炭龜
325,バネブー,Spoink,Spoink,Spoink,피그점프,跳跳猪,跳跳豬
326,ブーピッグ,Grumpig,Groink,Groret,피그킹,噗噗猪,噗噗豬
327,パッチール,Spinda,Pandir,Spinda,얼루기,晃晃斑,晃晃斑
328,ナックラー,Trapinch,Knacklion,Kraknoix,톱치,大颚蚁,大顎蟻
329,ビブラーバ,Vibrava,Vibrava,Vibraninf,비브라바,超音波幼虫,超音波幼蟲
330,フライゴン,Flygon,Libelldra,Libegon,플라이곤,沙漠蜻蜓,沙漠蜻蜓
331,サボネア,Cacnea,Tuska,Cacnea,선인왕,刺球仙人掌,刺球仙人掌
332,ノクタス,Cacturne,Noktuska,Cacturne,밤선인,梦歌仙人掌,夢歌仙人掌
333,チルット,Swablu,Wablu,Tylton,파비코,青绵鸟,青綿鳥
334,チルタリス,Altaria,Altaria,Altaria,파비코리,七夕青鸟,七夕青鳥
335,ザングース,Zangoose,Sengo,Mangriff,쟝고,猫鼬斩,貓鼬斬
336,ハブネーク,Seviper,Vipitis,Seviper,세비퍼,饭匙蛇,飯匙蛇
337,ルナトーン,Lunatone,Lunastein,Seleroc,루나톤,月石,月石
338,ソルロック,Solrock,Sonnfel,Solaroc,솔록,太阳岩,太陽岩
339,ドジョッチ,Barboach,Schmerbe,Barloche,미꾸리,泥泥鳅,泥泥鰍
340,ナマズン,Whiscash,Welsar,Barbicha,메깅,鲶鱼王,鯰魚王
341,ヘイガニ,Corphish,Krebscorps,Ecrapince,가재군,龙虾小兵,龍蝦小兵
342,シザリガー,Crawdaunt,Krebutack,Colhomard,가재장군,铁螯龙虾,鐵螯龍蝦
343,ヤジロン,Baltoy,Puppance,Balbuto,오뚝군,天秤偶,天秤偶
344,ネンドール,Claydol,Lepumentas,Kaorine,점토도리,念力土偶,念力土偶
345,リリーラ,Lileep,Liliep,Lilia,릴링,触手百合,觸手百合
346,ユレイドル,Cradily,Wielie,Vacilys,릴리요,摇篮百合,搖籃百合
347,アノプス,Anorith,Anorith,Anorith,아노딥스,太古羽虫,太古羽蟲
348,アーマルド,Armaldo,Armaldo,Armaldo,아말도,太古盔甲,太古盔甲
349,ヒンバス,Feebas,Barschwa,Barpau,빈티나,丑丑鱼,醜醜魚
350,ミロカロス,Milotic,Milotic,Milobellus,밀로틱,美纳斯,美納斯
351,ポワルン,Castform,Formeo,Morpheo,캐스퐁,飘浮泡泡,飄浮泡泡
352,カクレオン,Kecleon,Kecleon,Kecleon,켈리몬,变隐龙,變隱龍
353,カゲボウズ,Shuppet,Shuppet,Polichombr,어둠대신,怨影娃娃,怨影娃娃
354,ジュペッタ,Banette,Banette,Branette,다크펫,诅咒娃娃,詛咒娃娃
355,ヨマワル,Duskull,Zwirrlicht,Skelenox,해골몽,夜巡灵,夜巡靈
356,サマヨール,Dusclops,Zwirrklop,Teraclope,미라몽,彷徨夜灵,彷徨夜靈
357,トロピウス,Tropius,Tropius,Tropius,트로피우스,热带龙,熱帶龍
358,チリーン,Chimecho,Palimpalim,Eoko,치렁,风铃铃,風鈴鈴
359,アブソル,Absol,Absol,Absol,앱솔,阿勃梭鲁,阿勃梭魯
360,ソーナノ,Wynaut,Isso,Okeoke,마자,小果然,小果然
361,ユキワラシ,Snorunt,Schneppke,Stalgamin,눈꼬마,雪童子,雪童子
362,オニゴーリ,Glalie,Firnontor,Oniglali,얼음귀신,冰鬼护,冰鬼護
363,タマザラシ,Spheal,Seemops,Obalie,대굴레오,海豹球,海豹球
364,トドグラー,Sealeo,Seejong,Phogleur,씨레오,海魔狮,海魔獅
365,トドゼルガ,Walrein,Walraisa,Kaimorse,씨카이저,帝牙海狮,帝牙海獅
366,パールル,Clamperl,Perlu,Coquiperl,진주몽,珍珠贝,珍珠貝
367,ハンテール,Huntail,Aalabyss,Serpang,헌테일,猎斑鱼,獵斑魚
368,サクラビス,Gorebyss,Saganabyss,Rosabyss,분홍장이,樱花鱼,櫻花魚
369,ジーランス,Relicanth,Relicanth,Relicanth,시라칸,古空棘鱼,古空棘魚
370,ラブカス,Luvdisc,Liebiskus,Lovdisc,사랑동이,爱心鱼,愛心魚
371,タツベイ,Bagon,Kindwurm,Draby,아공이,宝贝龙,寶貝龍
372,コモルー,Shelgon,Draschel,Drackhaus,쉘곤,甲壳龙,甲殼龍
373,ボーマンダ,Salamence,Brutalanda,Drattak,보만다,暴飞龙,暴飛龍
374,ダンバル,Beldum,Tanhel,Terhal,메탕,铁哑铃,鐵啞鈴
375,メタング,Metang,Metang,Metang,메탕구,金属怪,金屬怪
376,メタグロス,Metagross,Metagross,Metalosse,메타그로스,巨金怪,巨金怪
377,レジロック,Regirock,Regirock,Regirock,레지락,雷吉洛克,雷吉洛克
378,レジアイス,Regice,Regice,Regice,레지아이스,雷吉艾斯,雷吉艾斯
379,レジスチル,Registeel,Registeel,Registeel,레지스틸,雷吉斯奇鲁,雷吉斯奇魯
380,ラティアス,Latias,Latias,Latias,라티아스,拉帝亚斯,拉帝亞斯
381,ラティオス,Latios,Latios,Latios,라티오스,拉帝欧斯,拉帝歐斯
382,カイオーガ,Kyogre,Kyogre,Kyogre,가이오가,盖欧卡,蓋歐卡
383,グラードン,Groudon,Groudon,Groudon,그란돈,固拉多,固拉多
384,レックウザ,Rayquaza,Rayquaza,Rayquaza,레쿠쟈,烈空坐,烈空坐
385,ジラーチ,Jirachi,Jirachi,Jirachi,지라치,基拉祈,基拉祈
386,デオキシス,Deoxys,Deoxys,Deoxys,테오키스,代欧奇希斯,代歐奇希斯
387,ナエトル,Turtwig,Chelast,Tortipouss,모부기,草苗龟,草苗龜
388,ハヤシガメ,Grotle,Chelcarain,Boskara,수풀부기,树林龟,樹林龜
389,ドダイトス,Torterra,Chelterrar,Torterra,토대부기,土台龟,土台龜
390,ヒコザル,Chimchar,Panflam,Ouisticram,불꽃숭이,小火焰猴,小火焰猴
391,モウカザル,Monferno,Panpyro,Chimpenfeu,파이숭이,猛火猴,猛火猴
392,ゴウカザル,Infernape,Panferno,Simiabraz,초염몽,烈焰猴,烈焰猴
393,ポッチャマ,Piplup,Plinfa,Tiplouf,팽도리,波加曼,波加曼
394,ポッタイシ,Prinplup,Pliprin,Prinplouf,팽태자,波皇子,波皇子
395,エンペルト,Empoleon,Impoleon,Pingoleon,엠페르트,帝王拿波,帝王拿波
396,ムックル,Starly,Staralili,Etourmi,찌르꼬,姆克儿,姆克兒
397,ムクバード,Staravia,Staravia,Etourvol,찌르버드,姆克鸟,姆克鳥
398,ムクホーク,Staraptor,Staraptor,Etouraptor,찌르호크,姆克鹰,姆克鷹
399,ビッパ,Bidoof,Bidiza,Keunotor,비버니,大牙狸,大牙狸
400,ビーダル,Bibarel,Bidifas,Castorno,비버통,大尾狸,大尾狸
401,コロボーシ,Kricketot,Zirpurze,Crikzik,귀뚤뚜기,圆法师,圓法師
402,コロトック,Kricketune,Zirpeise,Melokrik,귀뚤톡크,音箱蟀,音箱蟀
403,コリンク,Shinx,Sheinux,Lixy,꼬링크,小猫怪,小貓怪
404,ルクシオ,Luxio,Luxio,Luxio,럭시오,勒克猫,勒克貓
405,レントラー,Luxray,Luxtra,Luxray,렌트라,伦琴猫,倫琴貓
406,スボミー,Budew,Knospi,Rozbouton,꼬몽울,含羞苞,含羞苞
407,ロズレイド,Roserade,Roserade,Roserade,로즈레이드,罗丝雷朵,羅絲雷朵
408,ズガイドス,Cranidos,Koknodon,Kranidos,두개도스,头盖龙,頭蓋龍
409,ラムパルド,Rampardos,Rameidon,Charkos,램펄드,战槌龙,戰槌龍
410,タテトプス,Shieldon,Schilterus,Dinoclier,방패톱스,盾甲龙,盾甲龍
411,トリデプス,Bastiodon,Bollterus,Bastiodon,바리톱스,护城龙,護城龍
412,ミノムッチ,Burmy,Burmy,Cheniti,도롱충이,结草儿,結草兒
413,ミノマダム,Wormadam,Burmadame,Cheniselle,도롱마담,结草贵妇,結草貴婦
414,ガーメイル,Mothim,Moterpel,Papilord,나메일,绅士蛾,紳士蛾
415,ミツハニー,Combee,Wadribie,Apitrini,세꿀버리,三蜜蜂,三蜜蜂
416,ビークイン,Vespiquen,Honweisel,Apireine,비퀸,蜂女王,蜂女王
417,パチリス,Pachirisu,Pachirisu,Pachirisu,파치리스,帕奇利兹,帕奇利茲
418,ブイゼル,Buizel,Bamelin,Mustebouee,브이젤,泳圈鼬,泳圈鼬
419,フローゼル,Floatzel,Bojelin,Musteflott,플로젤,浮潜鼬,浮潛鼬
420,チェリンボ,Cherubi,Kikugi,Ceribou,체리버,樱花宝,櫻花寶
421,チェリム,Cherrim,Kinoso,Ceriflor,체리꼬,樱花儿,櫻花兒
422,カラナクシ,Shellos,Schalellos,Sancoki,깝질무,无壳海兔,無殼海兔
423,トリトドン,Gastrodon,Gastrodon,Tritosor,트리토돈,海兔兽,海兔獸
424,エテボース,Ambipom,Ambidiffel,Capidextre,겟핸보숭,双尾怪手,雙尾怪手
425,フワンテ,Drifloon,Driftlon,Baudrive,흔들풍손,飘飘球,飄飄球
426,フワライド,Drifblim,Drifzepeli,Grodrive,둥실라이드,随风球,隨風球
427,ミミロル,Buneary,Haspiror,Laporeille,이어롤,卷卷耳,捲捲耳
428,ミミロップ,Lopunny,Schlapor,Lockpin,이어롭,长耳兔,長耳兔
429,ムウマージ,Mismagius,Traunmagil,Magireve,무우마직,梦妖魔,夢妖魔
430,ドンカラス,Honchkrow,Kramshef,Corboss,돈크로우,乌鸦头头,烏鴉頭頭
431,ニャルマー,Glameow,Charmian,Chaglam,나옹마,魅力喵,魅力喵
432,ブニャット,Purugly,Shnurgarst,Chaffreux,몬냥이,东施喵,東施喵
433,リーシャン,Chingling,Klingplim,Korillon,랑딸랑,铃铛响,鈴鐺響
434,スカンプー,Stunky,Skunkapuh,Moufouette,스컹뿡,臭鼬噗,臭鼬噗
435,スカタンク,Skuntank,Skuntank,Moufflair,스컹탱크,坦克臭鼬,坦克臭鼬
436,ドーミラー,Bronzor,Bronzel,Archeomire,동미러,铜镜怪,銅鏡怪
437,ドータクン,Bronzong,Bronzong,Archeodong,동탁군,青铜钟,青銅鐘
438,ウソハチ,Bonsly,Mobai,Manzai,꼬지지,盆才怪,盆才怪
439,マネネ,Mime Jr.,Pantimimi,Mime Jr,흉내내,魔尼尼,魔尼尼
440,ピンプク,Happiny,Wonneira,Ptiravi,핑복,小福蛋,小福蛋
441,ペラップ,Chatot,Plaudagei,Pijako,페라페,聒噪鸟,聒噪鳥
442,ミカルゲ,Spiritomb,Kryppuk,Spiritomb,화강돌,花岩怪,花岩怪
443,フカマル,Gible,Kaumalat,Griknot,딥상어동,圆陆鲨,圓陸鯊
444,ガバイト,Gabite,Knarksel,Carmache,한바이트,尖牙陆鲨,尖牙陸鯊
445,ガブリアス,Garchomp,Knakrack,Carchacrok,한카리아스,烈咬陆鲨,烈咬陸鯊
446,ゴンベ,Munchlax,Mampfaxo,Goinfrex,먹고자,小卡比兽,小卡比獸
447,リオル,Riolu,Riolu,Riolu,리오르,利欧路,利歐路
448,ルカリオ,Lucario,Lucario,Lucario,루카리오,路卡利欧,路卡利歐
449,ヒポポタス,Hippopotas,Hippopotas,Hippopotas,히포포타스,沙河马,沙河馬
450,カバルドン,Hippowdon,Hippoterus,Hippodocus,하마돈,河马兽,河馬獸
451,スコルピ,Skorupi,Pionskora,Rapion,스콜피,钳尾蝎,鉗尾蠍
452,ドラピオン,Drapion,Piondragi,Drascore,드래피온,龙王蝎,龍王蠍
453,グレッグル,Croagunk,Glibunkel,Cradopaud,삐딱구리,不良蛙,不良蛙
454,ドクロッグ,Toxicroak,Toxiquak,Coatox,독개굴,毒骷蛙,毒骷蛙
455,マスキッパ,Carnivine,Venuflibis,Vortente,무스틈니,尖牙笼,尖牙籠
456,ケイコウオ,Finneon,Finneon,Ecayon,형광어,荧光鱼,螢光魚
457,ネオラント,Lumineon,Lumineon,Lumineon,네오라이트,霓虹鱼,霓虹魚
458,タマンタ,Mantyke,Mantirps,Babimanta,타만타,小球飞鱼,小球飛魚
459,ユキカブリ,Snover,Shnebedeck,Blizzi,눈쓰개,雪笠怪,雪笠怪
460,ユキノオー,Abomasnow,Rexblisar,Blizzaroi,눈설왕,暴雪王,暴雪王
461,マニューラ,Weavile,Snibunna,Dimoret,포푸니라,玛狃拉,瑪狃拉
462,ジバコイル,Magnezone,Magnezone,Magnezone,자포코일,自爆磁怪,自爆磁怪
463,ベロベルト,Lickilicky,Schlurplek,Coudlangue,내룸벨트,大舌舔,大舌舔
464,ドサイドン,Rhyperior,Rihornior,Rhinastoc,거대코뿌리,超甲狂犀,超甲狂犀
465,モジャンボ,Tangrowth,Tangoloss,Bouldeneu,덩쿠림보,巨蔓藤,巨蔓藤
466,エレキブル,Electivire,Elevoltek,Elekable,에레키블,电击魔兽,電擊魔獸
467,ブーバーン,Magmortar,Magbrant,Maganon,마그마번,鸭嘴炎兽,鴨嘴炎獸
468,トゲキッス,Togekiss,Togekiss,Togekiss,토게키스,波克基斯,波克基斯
469,メガヤンマ,Yanmega,Yanmega,Yanmega,메가자리,远古巨蜓,遠古巨蜓
470,リーフィア,Leafeon,Folipurba,Phyllali,리피아,叶伊布,葉伊布
471,グレイシア,Glaceon,Glaziola,Givrali,글레이시아,冰伊布,冰伊布
472,グライオン,Gliscor,Skorgro,Scorvol,글라이온,天蝎王,天蠍王
473,マンムー,Mamoswine,Mamutel,Mammochon,맘모꾸리,象牙猪,象牙豬
474,ポリゴンZ,Porygon-Z,Porygon-Z,Porygon-Z,폴리곤Z,多边兽Ｚ,多邊獸Ｚ
475,エルレイド,Gallade,Galagladi,Gallame,엘레이드,艾路雷朵,艾路雷朵
476,ダイノーズ,Probopass,Voluminas,Tarinorme,대코파스,大朝北鼻,大朝北鼻
477,ヨノワール,Dusknoir,Zwirrfinst,Noctunoir,야느와르몽,黑夜魔灵,黑夜魔靈
478,ユキメノコ,Froslass,Frosdedje,Momartik,눈여아,雪妖女,雪妖女
479,ロトム,Rotom,Rotom,Motisma,로토무,洛托姆,洛托姆
480,ユクシー,Uxie,Selfe,Crehelf,유크시,由克希,由克希
481,エムリット,Mesprit,Vesprit,Crefollet,엠라이트,艾姆利多,艾姆利多
482,アグノム,Azelf,Tobutz,Crefadet,아그놈,亚克诺姆,亞克諾姆
483,ディアルガ,Dialga,Dialga,Dialga,디아루가,帝牙卢卡,帝牙盧卡
484,パルキア,Palkia,Palkia,Palkia,펄기아,帕路奇亚,帕路奇亞
485,ヒードラン,Heatran,Heatran,Heatran,히드런,席多蓝恩,席多藍恩
486,レジギガス,Regigigas,Regigigas,Regigigas,레지기가스,雷吉奇卡斯,雷吉奇卡斯
487,ギラティナ,Giratina,Giratina,Giratina,기라티나,骑拉帝纳,騎拉帝納
488,クレセリア,Cresselia,Cresselia,Cresselia,크레세리아,克雷色利亚,克雷色利亞
489,フィオネ,Phione,Phione,Phione,피오네,霏欧纳,霏歐納
490,マナフィ,Manaphy,Manaphy,Manaphy,마나피,玛纳霏,瑪納霏
491,ダークライ,Darkrai,Darkrai,Darkrai,다크라이,达克莱伊,達克萊伊
492,シェイミ,Shaymin,Shaymin,Shaymin,쉐이미,谢米,謝米
493,アルセウス,Arceus,Arceus,Arceus,아르세우스,阿尔宙斯,阿爾宙斯
494,ビクティニ,Victini,Victini,Victini,비크티니,比克提尼,比克提尼
495,ツタージャ,Snivy,Serpifeu,Vipélierre,주리비얀,藤藤蛇,藤藤蛇
496,ジャノビー,Servine,Efoserp,Lianaja,샤비,青藤蛇,青藤蛇
497,ジャローダ,Serperior,Serpiroyal,Majaspic,샤로다,君主蛇,君主蛇
498,ポカブ,Tepig,Floink,Gruikui,뚜꾸리,暖暖猪,暖暖豬
499,チャオブー,Pignite,Ferkokel,Grotichon,챠오꿀,炒炒猪,炒炒豬
500,エンブオー,Emboar,Flambirex,Roitiflam,염무왕,炎武王,炎武王
501,ミジュマル,Oshawott,Ottaro,Moustillon,수댕이,水水獭,水水獺
502,フタチマル,Dewott,Zwottronin,Mateloutre,쌍검자비,双刃丸,雙刃丸
503,ダイケンキ,Samurott,Admurai,Clamiral,대검귀,大剑鬼,大劍鬼
504,ミネズミ,Patrat,Nagelotz,Ratentif,보르쥐,探探鼠,探探鼠
505,ミルホッグ,Watchog,Kukmarda,Miradar,보르그,步哨鼠,步哨鼠
506,ヨーテリー,Lillipup,Yorkleff,Ponchiot,요테리,小约克,小約克
507,ハーデリア,Herdier,Terribark,Ponchien,하데리어,哈约克,哈約克
508,ムーランド,Stoutland,Bissbark,Mastouffe,바랜드,长毛狗,長毛狗
509,チョロネコ,Purrloin,Felilou,Chacripan,쌔비냥,扒手猫,扒手貓
510,レパルダス,Liepard,Kleoparda,Léopardas,레파르다스,酷豹,酷豹
511,ヤナップ,Pansage,Vegimak,Feuillajou,야나프,花椰猴,花椰猴
512,ヤナッキー,Simisage,Vegichita,Feuiloutan,야나키,花椰猿,花椰猿
513,バオップ,Pansear,Grillmak,Flamajou,바오프,爆香猴,爆香猴
514,バオッキー,Simisear,Grillchita,Flamoutan,바오키,爆香猿,爆香猿
515,ヒヤップ,Panpour,Sodamak,Flotajou,앗차프,冷水猴,冷水猴
516,ヒヤッキー,Simipour,Sodachita,Flotoutan,앗차키,冷水猿,冷水猿
517,ムンナ,Munna,Somniam,Munna,몽나,食梦梦,食夢夢
518,ムシャーナ,Musharna,Somnivora,Mushana,몽얌나,梦梦蚀,夢夢蝕
519,マメパト,Pidove,Dusselgurr,Poichigeon,콩둘기,豆豆鸽,豆豆鴿
520,ハトーボー,Tranquill,Navitaub,Colombeau,유토브,咕咕鸽,咕咕鴿
521,ケンホロウ,Unfezant,Fasasnob,Déflaisan,켄호로우,高傲雉鸡,高傲雉雞
522,シママ,Blitzle,Elezeba,Zébribon,줄뮤마,斑斑马,斑斑馬
523,ゼブライカ,Zebstrika,Zebritz,Zéblitz,제브라이카,雷电斑马,雷電斑馬
524,ダンゴロ,Roggenrola,Kiesling,Nodulithe,단굴,石丸子,石丸子
525,ガントル,Boldore,Sedimantur,Géolithe,암트르,地幔岩,地幔岩
526,ギガイアス,Gigalith,Brockoloss,Gigalithe,기가이어스,庞岩怪,龐岩怪
527,コロモリ,Woobat,Fleknoil,Chovsourir,또르박쥐,滚滚蝙蝠,滾滾蝙蝠
528,ココロモリ,Swoobat,Fletiamo,Rhinolove,맘박쥐,心蝙蝠,心蝙蝠
529,モグリュー,Drilbur,Rotomurf,Rototaupe,두더류,螺钉地鼠,螺釘地鼠
530,ドリュウズ,Excadrill,Stalobor,Minotaupe,몰드류,龙头地鼠,龍頭地鼠
531,タブンネ,Audino,Ohrdoch,Nanméouïe,다부니,差不多娃娃,差不多娃娃
532,ドッコラー,Timburr,Praktibalk,Charpenti,으랏차,搬运小匠,搬運小匠
533,ドテッコツ,Gurdurr,Strepoli,Ouvrifier,토쇠골,铁骨土人,鐵骨土人
534,ローブシン,Conkeldurr,Meistagrif,Bétochef,노보청,修建老匠,修建老匠
535,オタマロ,Tympole,Schallquap,Tritonde,동챙이,圆蝌蚪,圓蝌蚪
536,ガマガル,Palpitoad,Mebrana,Batracné,두까비,蓝蟾蜍,藍蟾蜍
537,ガマゲロゲ,Seismitoad,Branawarz,Crapustule,두빅굴,蟾蜍王,蟾蜍王
538,ナゲキ,Throh,Jiutesto,Judokrak,던지미,投摔鬼,投摔鬼
539,ダゲキ,Sawk,Karadonis,Karaclée,타격귀,打击鬼,打擊鬼
540,クルミル,Sewaddle,Strawickl,Larveyette,두르보,虫宝包,蟲寶包
541,クルマユ,Swadloon,Folikon,Couverdure,두르쿤,宝包茧,寶包繭
542,ハハコモリ,Leavanny,Matrifol,Manternel,모아머,保姆虫,保母蟲
543,フシデ,Venipede,Toxiped,Venipatte,마디네,百足蜈蚣,百足蜈蚣
544,ホイーガ,Whirlipede,Rollum,Scobolide,휠구,车轮球,車輪毬
545,ペンドラー,Scolipede,Cerapendra,Brutapode,펜드라,蜈蚣王,蜈蚣王
546,モンメン,Cottonee,Waumboll,Doudouvet,소미안,木棉球,木棉球
547,エルフーン,Whimsicott,Elfun,Farfaduvet,엘풍,风妖精,風妖精
548,チュリネ,Petilil,Lilminip,Chlorobule,치릴리,百合根娃娃,百合根娃娃
549,ドレディア,Lilligant,Dressella,Fragilady,드레디어,裙儿小姐,裙兒小姐
550,バスラオ,Basculin,Barschuft,Bargantua,배쓰나이,野蛮鲈鱼,野蠻鱸魚
551,メグロコ,Sandile,Ganovil,Mascaïman,깜눈크,黑眼鳄,黑眼鱷
552,ワルビル,Krokorok,Rokkaiman,Escroco,악비르,混混鳄,混混鱷
553,ワルビアル,Krookodile,Rabigator,Crocorible,악비아르,流氓鳄,流氓鱷
554,ダルマッカ,Darumaka,Flampion,Darumarond,달막화,火红不倒翁,火紅不倒翁
555,ヒヒダルマ,Darmanitan,Flampivian,Darumacho,불비달마,达摩狒狒,達摩狒狒
556,マラカッチ,Maractus,Maracamba,Maracachi,마라카치,沙铃仙人掌,沙鈴仙人掌
557,イシズマイ,Dwebble,Lithomith,Crabicoque,돌살이,石居蟹,石居蟹
558,イワパレス,Crustle,Castellith,Crabaraque,암팰리스,岩殿居蟹,岩殿居蟹
559,ズルッグ,Scraggy,Zurrokex,Baggiguane,곤율랭,滑滑小子,滑滑小子
560,ズルズキン,Scrafty,Irokex,Baggaïd,곤율거니,头巾混混,頭巾混混
561,シンボラー,Sigilyph,Symvolara,Cryptéro,심보러,象征鸟,象徵鳥
562,デスマス,Yamask,Makabaja,Tutafeh,데스마스,哭哭面具,哭哭面具
563,デスカーン,Cofagrigus,Echnatoll,Tutankafer,데스니칸,死神棺,死神棺
564,プロトーガ,Tirtouga,Galapaflos,Carapagos,프로토가,原盖海龟,原蓋海龜
565,アバゴーラ,Carracosta,Karippas,Mégapagos,늑골라,肋骨海龟,肋骨海龜
566,アーケン,Archen,Flapteryx,Arkéapti,아켄,始祖小鸟,始祖小鳥
567,アーケオス,Archeops,Aeropteryx,Aéroptéryx,아케오스,始祖大鸟,始祖大鳥
568,ヤブクロン,Trubbish,Unratütox,Miamiasme,깨봉이,破破袋,破破袋
569,ダストダス,Garbodor,Deponitox,Miasmax,더스트나,灰尘山,灰塵山
570,ゾロア,Zorua,Zorua,Zorua,조로아,索罗亚,索羅亞
571,ゾロアーク,Zoroark,Zoroark,Zoroark,조로아크,索罗亚克,索羅亞克
572,チラーミィ,Minccino,Picochilla,Chinchidou,치라미,泡沫栗鼠,泡沫栗鼠
573,チラチーノ,Cinccino,Chillabell,Pashmilla,치라치노,奇诺栗鼠,奇諾栗鼠
574,ゴチム,Gothita,Mollimorba,Scrutella,고디탱,哥德宝宝,哥德寶寶
575,ゴチミル,Gothorita,Hypnomorba,Mesmérella,고디보미,哥德小童,哥德小童
576,ゴチルゼル,Gothitelle,Morbitesse,Sidérella,고디모아젤,哥德小姐,哥德小姐
577,ユニラン,Solosis,Monozyto,Nucléos,유니란,单卵细胞球,單卵細胞球
578,ダブラン,Duosion,Mitodos,Méios,듀란,双卵细胞球,雙卵細胞球
579,ランクルス,Reuniclus,Zytomega,Symbios,란쿨루스,人造细胞卵,人造細胞卵
580,コアルヒー,Ducklett,Piccolente,Couaneton,꼬지보리,鸭宝宝,鴨寶寶
581,スワンナ,Swanna,Swaroness,Lakmécygne,스완나,舞天鹅,舞天鵝
582,バニプッチ,Vanillite,Gelatini,Sorbébé,바닐프티,迷你冰,迷你冰
583,バニリッチ,Vanillish,Gelatroppo,Sorboul,바닐리치,多多冰,多多冰
584,バイバニラ,Vanilluxe,Gelatwino,Sorbouboul,배바닐라,双倍多多冰,雙倍多多冰
585,シキジカ,Deerling,Sesokitz,Vivaldaim,사철록,四季鹿,四季鹿
586,メブキジカ,Sawsbuck,Kronjuwild,Haydaim,바라철록,萌芽鹿,萌芽鹿
587,エモンガ,Emolga,Emolga,Emolga,에몽가,电飞鼠,電飛鼠
588,カブルモ,Karrablast,Laukaps,Carabing,딱정곤,盖盖虫,蓋蓋蟲
589,シュバルゴ,Escavalier,Cavalanzas,Lançargot,슈바르고,骑士蜗牛,騎士蝸牛
590,タマゲタケ,Foongus,Tarnpignon,Trompignon,깜놀버슬,哎呀球菇,哎呀球菇
591,モロバレル,Amoonguss,Hutsassa,Gaulet,뽀록나,败露球菇,敗露球菇
592,プルリル,Frillish,Quabbel,Viskuse,탱그릴,轻飘飘,輕飄飄
593,ブルンゲル,Jellicent,Apoquallyp,Moyade,탱탱겔,胖嘟嘟,胖嘟嘟
594,ママンボウ,Alomomola,Mamolida,Mamanbo,맘복치,保姆曼波,保母曼波
595,バチュル,Joltik,Wattzapf,Statitik,피쪼옥,电电虫,電電蟲
596,デンチュラ,Galvantula,Voltula,Mygavolt,전툴라,电蜘蛛,電蜘蛛
597,テッシード,Ferroseed,Kastadur,Grindur,철시드,种子铁球,種子鐵球
598,ナットレイ,Ferrothorn,Tentantel,Noacier,너트령,坚果哑铃,堅果啞鈴
599,ギアル,Klink,Klikk,Tic,기어르,齿轮儿,齒輪兒
600,ギギアル,Klang,Kliklak,Clic,기기어르,齿轮组,齒輪組
601,ギギギアル,Klinklang,Klikdiklak,Cliticlic,기기기어르,齿轮怪,齒輪怪
602,シビシラス,Tynamo,Zapplardin,Anchwatt,저리어,麻麻小鱼,麻麻小魚
603,シビビール,Eelektrik,Zapplalek,Lampéroie,저리릴,麻麻鳗,麻麻鰻
604,シビルドン,Eelektross,Zapplarang,Ohmassacre,저리더프,麻麻鳗鱼王,麻麻鰻魚王
605,リグレー,Elgyem,Pygraulon,Lewsor,리그레,小灰怪,小灰怪
606,オーベム,Beheeyem,Megalon,Neitram,벰크,大宇怪,大宇怪
607,ヒトモシ,Litwick,Lichtel,Funécire,불켜미,烛光灵,燭光靈
608,ランプラー,Lampent,Laternecto,Mélancolux,램프라,灯火幽灵,燈火幽靈
609,シャンデラ,Chandelure,Skelabra,Lugulabre,샹델라,水晶灯火灵,水晶燈火靈
610,キバゴ,Axew,Milza,Coupenotte,터검니,牙牙,牙牙
611,オノンド,Fraxure,Sharfax,Incisache,액슨도,斧牙龙,斧牙龍
612,オノノクス,Haxorus,Maxax,Tranchodon,액스라이즈,双斧战龙,雙斧戰龍
613,クマシュン,Cubchoo,Petznief,Polarhume,코고미,喷嚏熊,噴嚏熊
614,ツンベアー,Beartic,Siberio,Polagriffe,툰베어,冻原熊,凍原熊
615,フリージオ,Cryogonal,Frigometri,Hexagel,프리지오,几何雪花,幾何雪花
616,チョボマキ,Shelmet,Schnuthelm,Escargaume,쪼마리,小嘴蜗,小嘴蝸
617,アギルダー,Accelgor,Hydragil,Limaspeed,어지리더,敏捷虫,敏捷蟲
618,マッギョ,Stunfisk,Flunschlik,Limonde,메더,泥巴鱼,泥巴魚
619,コジョフー,Mienfoo,Lin-Fu,Kungfouine,비조푸,功夫鼬,功夫鼬
620,コジョンド,Mienshao,Wie-Shu,Shaofouine,비조도,师父鼬,師父鼬
621,クリムガン,Druddigon,Shardrago,Drakkarmin,크리만,赤面龙,赤面龍
622,ゴビット,Golett,Golbit,Gringolem,골비람,泥偶小人,泥偶小人
623,ゴルーグ,Golurk,Golgantes,Golemastoc,골루그,泥偶巨人,泥偶巨人
624,コマタナ,Pawniard,Gladiantri,Scalpion,자망칼,驹刀小兵,駒刀小兵
